1	0.680389	0.637527	0.677009	0.606405	0.498312	0.693790	0.997866	0.003127	0.014126	0.001111	10	0.336667	1.000000	3.9	0
2	0.725983	0.671774	0.888935	0.631702	0.532409	0.777901	0.889315	0.056699	0.084283	0.036667	11	0.451111	0.963333	3.8	0
3	0.728453	0.671954	0.882161	0.631616	0.530420	0.781800	0.910430	0.058494	0.098449	0.043333	13	0.438889	0.964444	3.7	0
4	0.709369	0.582534	0.890860	0.603547	0.508755	0.815884	0.939194	0.011393	0.016061	0.010000	10	0.496667	0.997778	3.8	0
5	0.782750	0.802004	0.824352	0.605673	0.580260	0.873234	0.998139	0.010281	0.040388	0.001111	15	0.402222	1.000000	3.8	0
6	0.750992	0.744476	0.809987	0.667632	0.521417	0.772140	0.994644	0.240838	0.019554	0.067778	12	0.387778	0.612222	5.1	0
7	0.797747	0.829972	0.839042	0.602414	0.608439	0.886666	0.998464	0.000000	0.040448	0.001111	9	0.468889	1.000000	4.5	0
8	0.684875	0.643690	0.678554	0.605962	0.509820	0.700821	0.997861	0.000000	0.014591	0.001111	10	0.344444	1.000000	3.9	0
9	0.771476	0.770361	0.826421	0.685452	0.554775	0.797866	0.994726	0.239522	0.019058	0.067778	12	0.364444	0.635556	4.2	0
10	0.818020	0.874399	0.887927	0.600758	0.597759	0.911005	0.998685	0.000000	0.103151	0.001111	8	0.528889	1.000000	4.6	0
11	0.763503	0.728328	0.860904	0.607678	0.538999	0.886255	0.982302	0.051981	0.066060	0.054444	29	0.418889	1.000000	4.3	0
12	0.729920	0.665732	0.874742	0.629160	0.528173	0.801565	0.922940	0.055655	0.149180	0.041111	15	0.428889	0.968889	5.1	0
13	0.676081	0.630081	0.679855	0.608391	0.492614	0.678162	0.998047	0.000000	0.009827	0.001111	11	0.313333	1.000000	5.0	0
14	0.838511	0.888924	0.879606	0.599451	0.726199	0.904592	0.998685	0.000000	0.031401	0.001111	3	0.616667	1.000000	5.0	0
15	0.669077	0.619840	0.663657	0.607729	0.489955	0.668056	0.998047	0.000000	0.012133	0.001111	11	0.312222	1.000000	4.1	0
16	0.807557	0.818190	0.852817	0.717770	0.602115	0.850210	0.997149	0.220170	0.009418	0.067778	12	0.378889	0.710000	4.1	0
17	0.827622	0.846432	0.884552	0.720588	0.612767	0.892779	0.996075	0.153843	0.059018	0.036667	12	0.406667	0.847778	3.9	0
18	0.849336	0.908584	0.894115	0.599991	0.741010	0.914231	0.998585	0.000000	0.036402	0.001111	3	0.568889	1.000000	3.6	0
19	0.818471	0.869662	0.866697	0.600302	0.637851	0.903134	0.999052	0.000000	0.076976	0.001111	6	0.552222	1.000000	3.9	0
20	0.745739	0.678584	0.864477	0.605063	0.523930	0.872540	0.974610	0.023815	0.045081	0.018889	19	0.445556	1.000000	3.8	0
21	0.703262	0.666644	0.733282	0.613493	0.518538	0.714642	0.997388	0.027248	0.008656	0.005556	16	0.312222	1.000000	4.4	0
22	0.677791	0.589900	0.890811	0.605824	0.510772	0.782123	0.745912	0.013406	0.052845	0.014444	11	0.487778	0.995556	4.0	0
23	0.692876	0.655413	0.691431	0.605746	0.516710	0.715495	0.997437	0.000000	0.010779	0.001111	10	0.357778	1.000000	4.5	0
24	0.829084	0.877479	0.866453	0.599871	0.697579	0.901826	0.999035	0.000000	0.046917	0.001111	4	0.577778	1.000000	3.7	0
25	0.846470	0.904659	0.890340	0.600008	0.733399	0.912963	0.998660	0.000000	0.038693	0.001111	3	0.561111	1.000000	3.9	0
26	0.823240	0.839088	0.876856	0.719703	0.600149	0.895820	0.997259	0.159900	0.036913	0.058889	13	0.393333	0.837778	4.3	0
27	0.788597	0.810515	0.841452	0.603347	0.577124	0.887125	0.997407	0.005697	0.037184	0.001111	12	0.446667	1.000000	4.1	0
28	0.849430	0.905862	0.894992	0.599409	0.748623	0.911641	0.998433	0.000000	0.024945	0.001111	3	0.611111	1.000000	3.6	0
29	0.634045	0.551652	0.644991	0.615676	0.464649	0.584104	0.998126	0.066237	0.009597	0.018889	22	0.260000	1.000000	3.7	0
30	0.770777	0.776296	0.815439	0.611604	0.573726	0.846642	0.997275	0.051354	0.018827	0.010000	21	0.356667	1.000000	3.8	0
31	0.760768	0.765698	0.784454	0.607399	0.582902	0.822622	0.998247	0.003127	0.013892	0.001111	12	0.364444	1.000000	3.6	0
32	0.658328	0.593410	0.672782	0.611632	0.480869	0.636321	0.998230	0.016418	0.006518	0.001111	15	0.290000	1.000000	4.8	0
33	0.838380	0.863903	0.878127	0.736297	0.630282	0.905305	0.999353	0.177669	0.044409	0.041111	11	0.398889	0.805556	4.4	0
34	0.789236	0.794039	0.843218	0.702656	0.576759	0.820187	0.995353	0.229368	0.017281	0.067778	13	0.375556	0.678889	4.2	0
35	0.694764	0.652749	0.727261	0.618677	0.501335	0.698630	0.997943	0.079640	0.010358	0.036667	22	0.300000	1.000000	3.7	0
36	0.788785	0.806263	0.842407	0.607956	0.580702	0.886706	0.997025	0.035360	0.020135	0.005556	17	0.391111	1.000000	4.1	0
37	0.821992	0.871406	0.866913	0.598622	0.678435	0.886280	0.997353	0.000000	0.017096	0.001111	2	0.742222	1.000000	3.6	0
38	0.835428	0.885742	0.879882	0.598994	0.716475	0.899772	0.998163	0.000000	0.027478	0.001111	2	0.663333	1.000000	3.9	0
39	0.841448	0.894854	0.887639	0.599128	0.728037	0.905174	0.998253	0.000000	0.028831	0.001111	2	0.647778	1.000000	3.7	0
40	0.811313	0.858567	0.890981	0.601179	0.577444	0.910249	0.997958	0.000000	0.147378	0.001111	8	0.513333	1.000000	3.9	0
41	0.606241	0.492616	0.662986	0.617971	0.416433	0.524274	0.998918	0.324093	0.025803	0.176667	48	0.266667	1.000000	4.1	0
42	0.825896	0.873783	0.863500	0.599916	0.686520	0.900638	0.999092	0.000000	0.051878	0.001111	4	0.576667	1.000000	3.7	0
43	0.787433	0.802441	0.858070	0.602551	0.561982	0.892776	0.996774	0.005697	0.063301	0.005556	12	0.468889	1.000000	3.7	0
44	0.794234	0.822796	0.848985	0.602040	0.585931	0.888881	0.997727	0.003127	0.064062	0.001111	10	0.482222	1.000000	3.7	0
45	0.842269	0.895751	0.882856	0.599738	0.732168	0.908701	0.998749	0.000000	0.035201	0.001111	3	0.584444	1.000000	3.8	0
46	0.624384	0.524918	0.658010	0.624809	0.450923	0.555271	0.998686	0.220850	0.023296	0.143333	39	0.263333	1.000000	3.7	0
47	0.829495	0.884265	0.880591	0.598551	0.687714	0.892269	0.997066	0.000000	0.014161	0.001111	2	0.740000	1.000000	3.9	0
48	0.746244	0.694135	0.871466	0.641371	0.536397	0.823885	0.944946	0.074878	0.070891	0.050000	13	0.418889	0.952222	4.3	0
49	0.848511	0.904202	0.891978	0.599538	0.748387	0.911248	0.998583	0.000000	0.027090	0.001111	3	0.601111	1.000000	3.7	0
50	0.825977	0.842258	0.867491	0.726091	0.612316	0.897995	0.998860	0.178989	0.039882	0.054444	13	0.381111	0.808889	4.0	0
51	0.588963	0.471327	0.618904	0.627156	0.397373	0.498403	0.999039	0.283048	0.014803	0.190000	49	0.242222	1.000000	3.8	0
52	0.811839	0.860263	0.854216	0.598608	0.650176	0.878085	0.997399	0.000000	0.017840	0.001111	2	0.758889	1.000000	3.6	0
53	0.742287	0.721618	0.793594	0.648628	0.543205	0.762883	0.997571	0.329564	0.008299	0.190000	49	0.326667	1.000000	3.8	0
54	0.776504	0.772668	0.850159	0.605270	0.551999	0.887625	0.993864	0.025887	0.040551	0.023333	19	0.424444	1.000000	3.7	0
55	0.830108	0.879934	0.875279	0.598782	0.701222	0.894399	0.997812	0.000000	0.022462	0.001111	2	0.698889	1.000000	3.8	0
56	0.838327	0.889896	0.878020	0.599754	0.722485	0.906579	0.998849	0.000000	0.037532	0.001111	3	0.585556	1.000000	3.8	0
57	0.759144	0.721548	0.886250	0.652571	0.548637	0.820540	0.950380	0.084051	0.062140	0.045556	10	0.431111	0.937778	4.0	0
58	0.821253	0.833334	0.856413	0.725239	0.614179	0.890923	0.999374	0.197800	0.025493	0.072222	15	0.367778	0.780000	4.2	0
